Material               Ra      Rb       Va    Vb    Xa     Xb     Pa     Pb
NdNiO3_both            1.410   0.700   3.000   3.000   1.140   1.910   5.010   1.230   
BaCeO3_both            1.750   1.010   2.000   4.000   0.890   1.120   6.400   3.940   
SmNiO3_both            1.380   0.700   3.000   3.000   1.170   1.910   4.740   1.230   
CaSnO3_both            1.480   0.830   2.000   4.000   1.000   1.960   3.160   2.830   
SrPbO3_both            1.580   0.915   2.000   4.000   0.950   2.330   4.240   6.580   
CaZrO3_both            1.480   0.860   2.000   4.000   1.000   1.330   3.160   3.250   
CaMnO3_both            1.480   0.670   2.000   4.000   1.000   1.550   3.160   2.640   
CaGeO3_both            1.480   0.670   2.000   4.000   1.000   2.010   3.160   1.630   
CaVO3_both             1.480   0.720   2.000   4.000   1.000   1.630   3.160   2.920   
LaCrO3_both            1.500   0.755   3.000   3.000   1.100   1.660   6.070   1.450   
LaGaO3_both            1.500   0.760   3.000   3.000   1.100   1.810   6.070   1.500   
CaTiO3_both            1.480   0.745   2.000   4.000   1.000   1.540   3.160   2.930   
SmAlO3_both            1.380   0.675   3.000   3.000   1.170   1.610   4.740   0.790   
SrSnO3_both            1.580   0.830   2.000   4.000   0.950   1.960   4.240   2.830   
CdTiO3_both            1.450   0.745   2.000   4.000   1.690   1.540   3.400   2.930   
LaMnO3_both            1.500   0.720   3.000   3.000   1.100   1.550   6.070   2.640   
LaFeO3_both            1.500   0.690   3.000   3.000   1.100   1.830   6.070   2.290   
BaPrO3_both            1.750   0.990   2.000   4.000   0.890   1.130   6.400   5.320   
NdTiO3_both            1.410   0.810   3.000   3.000   1.140   1.540   5.010   2.930   
SmTiO3_both            1.380   0.810   3.000   3.000   1.170   1.540   4.740   2.930   
NdFeO3_both            1.410   0.690   3.000   3.000   1.140   1.830   5.010   2.290   
SmFeO3_both            1.380   0.690   3.000   3.000   1.170   1.830   4.740   2.290   
Sr(In1/2Nb1/2)O3_both  1.580   0.860   2.000   4.000   0.950   1.690   4.240   3.295   
BaThO3_both            1.580   1.080   2.000   4.000   0.890   6.400   1.300   4.920   
NaTaO3_both            1.530   0.780   1.000   5.000   0.930   1.800   1.500   4.730   
CdGeO3_both            1.450   0.670   2.000   4.000   1.690   3.400   2.010   1.630   
NaSbO3_both            1.530   0.740   1.000   5.000   0.930   1.800   2.050   4.270   
LaErO3_both            1.500   1.030   3.000   3.000   1.100   6.070   1.240   3.810   
Ba(Y1/2Ta1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.360   6.400   4.270   
Ba(Y1/2Ta1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.360   6.400   4.270   
CeAlO3_anti            1.480   0.675   3.000   3.000   1.120   3.940   1.610   0.790   
CeAlO3_anti            1.480   0.675   3.000   3.000   1.120   3.940   1.610   0.790   
CeAlO3_anti            1.480   0.675   3.000   3.000   1.120   3.940   1.610   0.790   
Ba(Y1/2Ta1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.360   6.400   4.270   
Ba(Y1/2Nb1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.410   6.400   3.890   
CeAlO3_anti            1.480   0.675   3.000   3.000   1.120   3.940   1.610   0.790   
BaPbO3_anti            1.750   0.915   2.000   4.000   0.890   2.330   6.400   6.580   
Ba(Y1/2Ta1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.360   6.400   4.270   
Ba(Y1/2Ta1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.360   6.400   4.270   
CeAlO3_anti            1.480   0.675   3.000   3.000   1.120   3.940   1.610   0.790   
Ba(Y1/2Nb1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.410   6.400   3.890   
Ba(Y1/2Ta1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.360   6.400   4.270   
CeAlO3_anti            1.480   0.675   3.000   3.000   1.120   3.940   1.610   0.790   
Ba(Y1/2Nb1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.410   6.400   3.890   
CeAlO3_anti            1.480   0.675   3.000   3.000   1.120   3.940   1.610   0.790   
Ba(Y1/2Nb1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.410   6.400   3.890   
Ba(Y1/2Nb1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.410   6.400   3.890   
Ba(Nd1/2Ta1/2)O3_anti  1.750   0.952   2.000   4.000   0.890   1.320   6.400   4.870   
Ba(Y1/2Ta1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.360   6.400   4.270   
CeAlO3_anti            1.480   0.675   3.000   3.000   1.120   3.940   1.610   0.790   
BaPbO3_anti            1.750   0.915   2.000   4.000   0.890   2.330   6.400   6.580   
Ba(Y1/2Ta1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.360   6.400   4.270   
Ba(Nd1/2Ta1/2)O3_anti  1.750   0.952   2.000   4.000   0.890   1.320   6.400   4.870   
CeAlO3_anti            1.480   0.675   3.000   3.000   1.120   3.940   1.610   0.790   
Ba(Y1/2Ta1/2)O3_anti   1.750   0.910   2.000   4.000   0.890   1.360   6.400   4.270   
BaPbO3_anti            1.750   0.915   2.000   4.000   0.890   2.330   6.400   6.580   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
Ba(In1/2Ta1/2)O3_none  1.750   0.860   2.000   4.000   0.890   1.640   6.400   3.675   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
Ba(In1/2Ta1/2)O3_none  1.750   0.860   2.000   4.000   0.890   1.640   6.400   3.675   
SrFeO3_none            1.580   0.725   2.000   4.000   0.950   1.830   4.240   2.290   
SrFeO3_none            1.580   0.725   2.000   4.000   0.950   1.830   4.240   2.290   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
SrFeO3_none            1.580   0.725   2.000   4.000   0.950   1.830   4.240   2.290   
Ba(In1/2Ta1/2)O3_none  1.750   0.860   2.000   4.000   0.890   1.640   6.400   3.675   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
KUO3_none              1.780   0.900   1.000   5.000   0.820   1.380   3.830   4.450   
